Genus_species	Prehensility_VF
Abeomelomys_sevia	P
Aethomys_chrysophilus	N
Anisomys_imitator	N
Apomys_datae	N
Bandicota_indica	N
Bunomys_chrysocomus	N
Chiropodomys_gliroides	N
Chiropodomys_major	N
Chiruromys_forbesi	P
Chiruromys_lamia	P
Chiruromys_pulcher	P
Chiruromys_vates	P
Coccymys_shawmayeri	P
Conilurus_penicillatus	N
Crateromys_heaneyi	N
Golunda_ellioti	N
Haeromys_minahassae	N
Hapalomys_longicaudatus	N
Hydromys_chrisogaster	N
Hyomys_goliath_2	NA
Hyomys_goliath	P
Leggadina_forresti	N
Lemniscomys_striatus	N
Lenothrix_cana	N
Leporillus_conditor	N
Leptomys_sp	N
Lorentzimys_nouhuysi	N
Macruromys_major	N
Mallomys_hercules	P
Mallomys_istapantap	P
Mallomys_rothschildi	P
Margaretamys_beccarii	N
Melomys_cervinipes	P
Melomys_rufescens	P
Mesembryomys_gouldii	N
Micaelamys_namaquensis	N
Microhydromys_sp	N
Micromys_minutus	P
Millardia_meltada	N
Niviventer_cremoriventer	N
Notomys_alexis	N
Parahydromys_asper	N
Paramelomys_sp	N
Phloeomys_cumingi	N
Phloeomys_pallidus	N
Pithecheir_melanurus	P
Pogonomelomys_mayeri	P
Pogonomys_loriae	P
Pogonomys_macrourus	P
Pogonomys_sylvestris	P
Protochromys_fellowsi	P
Pseudomys_australis	N
Rattus_macleari	N
Rattus_nativitatis	N
Rhynchomys_isarogensis	N
Solomys_sapientis	P
Taeromys_arcuatus	N
Taeromys_dominator	N
Thallomys_spce	N
Thamnomys_poensis	N
Uromys_caudimaculatus	N
Uromys_imperator	NA
Uromys_rex	P
Vandeleuria_oleracea	N
Zyzomys_argurus	N
