ABEsevi,Abeomelomys_sevia,P,P
AETchry,Aethomys_chrysophilus,N,N
ANIimit,Anisomys_imitator,N,N
APOdata,Apomys_datae,N,N
BANindi,Bandicota_indica,N,N
BUNchry,Bunomys_chrysocomus,N,N
CHIforb,Chiruromys_forbesi,P,P
CHIglir,Chiropodomys_gliroides,N,N
CHIlami,Chiruromys_lamia,P,P
CHImajo,Chiropodomys_major,N,N
CHIpulc,Chiruromys_pulcher,P,P
CHIpusi,Chiropodomys_pusillus,N,N
CHIvate,Chiruromys_vates,P,P
COCshaw,Coccymys_shawmayeri,P,P
CONpeni,Conilurus_penicillatus,N,N
CRAhean,Crateromys_heaneyi,N,N
GOLelli,Golunda_ellioti,N,N
HAEmina,Haeromys_minahassae,N,N
HAPlong,Hapalomys_longicaudatus,N,N
HYDchry,Hydromys_chrisogaster,N,N
HYOgoli,Hyomys_goliath,P,NA
LEGforr,Leggadina_forresti,N,N
LEMstri,Lemniscomys_striatus,N,N
LENcana,Lenothrix_cana,N,N
LEPcond,Leporillus_conditor,N,N
LEPspce,Leptomys_sp,N,N
LORnouh,Lorentzimys_nouhuysi,N,N
MACmajo,Macruromys_major,N,N
MALherc,Mallomys_hercules,P,NA
MALista,Mallomys_istapantap,P,NA
MALroth,Mallomys_rothschildi,P,NA
MARbecc,Margaretamys_beccarii,N,N
MELcerv,Melomys_cervinipes,P,P
MELrufe,Melomys_rufescens,P,P
MESgoul,Mesembryomys_gouldii,N,N
MICminu,Micromys_minutus,P,P
MICnama,Micaelamys_namaquensis,N,N
MICspce,Microhydromys_sp,N,N
MILmelt,Millardia_meltada,N,N
NIVcrem,Niviventer_cremoriventer,N,N
NOTalex,Notomys_alexis,N,N
PARaspe,Parahydromys_asper,N,N
PARspce,Paramelomys_sp,N,N
PHLcumi,Phloeomys_cumingi,N,N
PHLpall,Phloeomys_pallidus,N,N
PITmela,Pithecheir_melanurus,P,P
POGlori,Pogonomys_loriae,P,P
POGmacr,Pogonomys_macrourus,P,P
POGmaye,Pogonomelomys_mayeri,P,P
POGsylv,Pogonomys_sylvestris,P,P
PROfell,Protochromys_fellowsi,P,NA
PSEaust,Pseudomys_australis,N,N
RATmacl,Rattus_macleari,N,N
RATnati,Rattus_nativitatis,N,N
RHYisar,Rhynchomys_isarogensis,N,N
SOLsapi,Solomys_sapentis,P,P
TAEarcu,Taeromys_arcuatus,N,N
TAEdomi,Taeromys_dominator,N,N
THApoen,Thamnomys_poensis,N,NA
THAspce,Thallomys_spce,N,N
UROcaud,Uromys_caudimaculatus,N,N
UROimpe,Uromys_imperator,N,N
UROrex_,Uromys_rex,P,NA
VANoler,Vandeleuria_oleracea,N,N
ZYZargu,Zyzomys_argurus,N,N
