"","","sizelsr"
"ABEsevi","ABEsevi","1.53364834115133"
"AETchry","AETchry","1.50173881331725"
"ANIimit","ANIimit","2.71713927570601"
"APOdata","APOdata","1.6889583043809"
"BANindi","BANindi","3.68204199402773"
"BUNchry","BUNchry","1.76669410520411"
"CHIglir","CHIglir","0.79731388563526"
"CHIglir","CHIglir","0.92930470950704"
"CHImajo","CHImajo","1.09101599256363"
"CHIpusi","CHIpusi","0.652068529377386"
"CHIforb","CHIforb","2.05008327224827"
"CHIforb","CHIforb","2.07575922802795"
"CHIlami","CHIlami","1.66226901661722"
"CHIpulc","CHIpulc","2.26085842548767"
"CHIvate","CHIvate","1.4215487262481"
"COCshaw","COCshaw","1.23498059941149"
"CONpeni","CONpeni","1.85197503745765"
"CRAhean","CRAhean","6.80148091997795"
"GOLelli","GOLelli","1.35047888277283"
"THApoen","THApoen","1.44102147758804"
"THApoen","THApoen","1.06746590702633"
"HAEmina","HAEmina","0.831402147456825"
"HAEpusi","HAEpusi","0.866469962221993"
"HAPlong","HAPlong","2.04638537754312"
"HAPlong","HAPlong","2.0870390648274"
"HYDchry","HYDchry","3.73018511576287"
"HYOgoli","HYOgoli","4.94832059113667"
"HYOgoli","HYOgoli","3.90120946461727"
"HYOgoli","HYOgoli","4.52411701806172"
"LEGforr","LEGforr","0.853427043489076"
"LEMstri","LEMstri","1.47374999482038"
"LENcana","LENcana","2.02508897810806"
"LEPcond","LEPcond","1.86470365001064"
"LEPspce","LEPspce","1.68528679453081"
"LORnouh","LORnouh","0.915488794362429"
"LORnouh","LORnouh","0.757937428216554"
"MACmajo","MACmajo","2.46716401477936"
"MALherc","MALherc","5.25906849071815"
"MALista","MALista","4.56189067950283"
"MALroth","MALroth","5.05792263849518"
"MARbecc","MARbecc","1.26597784506433"
"MELcerv","MELcerv","1.56193797138458"
"MELrufe","MELrufe","1.5102102964088"
"MELrufe","MELrufe","1.44201194904806"
"MELrufe","MELrufe","1.58019607900098"
"MESgoul","MESgoul","2.79021839745089"
"MICnama","MICnama","1.20833702063847"
"MICspce","MICspce","0.804187486861456"
"MICminu","MICminu","0.715402161077214"
"MICminu","MICminu","0.940876776806016"
"MILmelt","MILmelt","2.82114925561612"
"NIVcrem","NIVcrem","0.991012217084063"
"NOTalex","NOTalex","1.12627069030368"
"PARaspe","PARaspe","3.0338405442414"
"PARspce","PARspce","1.26552276561017"
"TAEdomi","TAEdomi","2.38129694201101"
"PHLcumi","PHLcumi","5.25737595701438"
"PHLpall","PHLpall","5.9234328720747"
"PITmela","PITmela","1.95168103986452"
"PITmela","PITmela","2.13749063245702"
"POGmaye","POGmaye","1.82011824316139"
"ABEsevi","ABEsevi","1.74585359576535"
"ABEsevi","ABEsevi","1.46893360669817"
"POGlori","POGlori","1.80781418809112"
"POGlori","POGlori","1.64861146883778"
"POGlori","POGlori","2.53020044776312"
"POGmacr","POGmacr","1.4449415425991"
"POGmacr","POGmacr","1.52539716604298"
"POGlori","POGlori","1.77197799475403"
"POGsylv","POGsylv","1.47255558970584"
"POGsylv","POGsylv","1.44366339437932"
"PROfell","PROfell","1.56971159215744"
"PROfell","PROfell","1.61882546325637"
"PROfell","PROfell","1.47882198618816"
"PSEaust","PSEaust","1.25490424330425"
"RATmacl","RATmacl","2.92187981044197"
"RATnati","RATnati","3.44932825488139"
"RHYisar","RHYisar","2.06544182921538"
"SOLsapi","SOLsapi","3.03454247547314"
"SOLsapi","SOLsapi","3.10936483006508"
"TAEarcu","TAEarcu","1.97177717571246"
"THAspce","THAspce","1.60263254224934"
"UROcaud","UROcaud","3.42493470148159"
"UROcaud","UROcaud","3.78423803957815"
"UROimpe","UROimpe","3.57966399107812"
"UROimpe","UROimpe","3.36576717776279"
"UROrex_","UROrex_","4.17997187927783"
"UROrex_","UROrex_","3.54746514688917"
"VANoler","VANoler","0.963159991972381"
"ZYZargu","ZYZargu","1.27697517225208"
