"","","ResidualRI"
"ABEsevi","ABEsevi","2.6840303638595"
"AETchry","AETchry","-5.0815143178478"
"ANIimit","ANIimit","-4.853852963968"
"APOdata","APOdata","-0.120824558011554"
"BANindi","BANindi","-5.39289233763373"
"BUNchry","BUNchry","-2.78555861545414"
"CHIglir","CHIglir","3.47074395683743"
"CHIglir.1","CHIglir.1","14.1303583630201"
"CHImajo","CHImajo","7.03262237216002"
"CHIpusi","CHIpusi","3.49257285583325"
"CHIforb","CHIforb","-3.15602175382471"
"CHIforb.1","CHIforb.1","1.75178876197044"
"CHIlami","CHIlami","-2.28718489895405"
"CHIpulc","CHIpulc","-3.08484254956954"
"CHIvate","CHIvate","3.36142202324302"
"COCshaw","COCshaw","4.03874006496528"
"CONpeni","CONpeni","-11.8333201352357"
"CRAhean","CRAhean","-3.67225530955582"
"GOLelli","GOLelli","-6.75099847138681"
"THApoen","THApoen","-6.51479579286067"
"THApoen.1","THApoen.1","-4.12644393800134"
"HAEmina","HAEmina","2.62159812637982"
"HAEpusi","HAEpusi","-6.15249958144384"
"HAPlong","HAPlong","-7.7713710611102"
"HAPlong.1","HAPlong.1","-12.1773702881441"
"HYDchry","HYDchry","0.0340575652361713"
"HYOgoli","HYOgoli","11.0510378230232"
"HYOgoli.1","HYOgoli.1","8.91829969819419"
"HYOgoli.2","HYOgoli.2","-0.625219486269025"
"LEGforr","LEGforr","7.64626484351332"
"LEMstri","LEMstri","-9.22225027500589"
"LENcana","LENcana","-5.30348397957853"
"LEPcond","LEPcond","-1.09339925811848"
"LEPspce","LEPspce","-0.802777221751238"
"LORnouh","LORnouh","-2.67965736937908"
"LORnouh.1","LORnouh.1","-3.26634017107121"
"MACmajo","MACmajo","-7.30375319387824"
"MALherc","MALherc","12.1043361306941"
"MALista","MALista","16.6154327555644"
"MALroth","MALroth","8.19644232410289"
"MARbecc","MARbecc","-3.25237127197846"
"MELcerv","MELcerv","5.50359177014492"
"MELrufe","MELrufe","9.70355616198251"
"MELrufe.1","MELrufe.1","4.56062499524336"
"MELrufe.2","MELrufe.2","3.38017284753288"
"MESgoul","MESgoul","-9.23592718767619"
"MICnama","MICnama","-7.8968481983592"
"MICspce","MICspce","3.78955961238777"
"MICminu","MICminu","12.9151929859812"
"MICminu.1","MICminu.1","4.19359766096356"
"MILmelt","MILmelt","-7.3214331950427"
"NIVcrem","NIVcrem","-2.68508733787257"
"NOTalex","NOTalex","-6.12535515064113"
"PARaspe","PARaspe","1.18900733655968"
"PARspce","PARspce","-4.1434694867179"
"TAEdomi","TAEdomi","-6.64858841394047"
"PHLcumi","PHLcumi","-0.754816064944089"
"PHLpall","PHLpall","-8.84290492252989"
"PITmela","PITmela","0.658378725216627"
"PITmela.1","PITmela.1","-0.962686617075506"
"POGmaye","POGmaye","3.49790299271806"
"ABEsevi.1","ABEsevi.1","2.56736540509694"
"ABEsevi.2","ABEsevi.2","2.35308010968178"
"POGlori","POGlori","-0.474825981911275"
"POGlori.1","POGlori.1","1.1257040157005"
"POGlori.2","POGlori.2","-2.52084214040185"
"POGmacr","POGmacr","-1.93304252152331"
"POGmacr.1","POGmacr.1","5.89948385999535"
"POGlori.3","POGlori.3","-0.814241019144743"
"POGsylv","POGsylv","0.538994420109007"
"POGsylv.1","POGsylv.1","2.30217166709929"
"PROfell","PROfell","6.26458420024969"
"PROfell.1","PROfell.1","3.89729804282752"
"PROfell.2","PROfell.2","-4.11866327476876"
"PSEaust","PSEaust","0.292177025155694"
"RATmacl","RATmacl","-0.439267523641082"
"RATnati","RATnati","5.68954778597393"
"RHYisar","RHYisar","6.61124435268024"
"SOLsapi","SOLsapi","4.70847123264408"
"SOLsapi.1","SOLsapi.1","1.82476372055804"
"TAEarcu","TAEarcu","-7.26076275851926"
"THAspce","THAspce","-2.90386235231807"
"UROcaud","UROcaud","-6.7991582311538"
"UROcaud.1","UROcaud.1","-9.13318815869318"
"UROimpe","UROimpe","5.14626861201072"
"UROimpe.1","UROimpe.1","8.73901417495345"
"UROrex_","UROrex_","-0.606221711465214"
"UROrex_.1","UROrex_.1","2.97398743106724"
"VANoler","VANoler","-2.69562874721037"
"ZYZargu","ZYZargu","-3.84766937754837"
