"","","ResidualRIlq"
"ABEsevi","ABEsevi","15.8377954852321"
"AETchry","AETchry","-6.70348810803184"
"ANIimit","ANIimit","-11.7009316780088"
"APOdata","APOdata","-14.8271642042147"
"BANindi","BANindi","-5.09153414744072"
"BUNchry","BUNchry","2.39487385988972"
"CHIglir","CHIglir","-12.6016093865229"
"CHIglir.1","CHIglir.1","51.5108462160317"
"CHImajo","CHImajo","33.6099996838126"
"CHIpusi","CHIpusi","-16.0118272024454"
"CHIforb","CHIforb","-0.812852514512464"
"CHIforb.1","CHIforb.1","13.5700821123859"
"CHIlami","CHIlami","1.15670631549945"
"CHIpulc","CHIpulc","-3.45048614874424"
"CHIvate","CHIvate","27.1064619144594"
"COCshaw","COCshaw","18.7289851727055"
"CONpeni","CONpeni","-30.7682889415942"
"CRAhean","CRAhean","-17.5405786493569"
"GOLelli","GOLelli","-2.7915932033794"
"THApoen","THApoen","-10.0561548221458"
"THApoen.1","THApoen.1","-23.5367608354599"
"HAEmina","HAEmina","1.41939838708263"
"HAEpusi","HAEpusi","-19.638365148414"
"HAPlong","HAPlong","-26.385069197772"
"HAPlong.1","HAPlong.1","-29.7626547392751"
"HYDchry","HYDchry","-18.1311425233575"
"HYOgoli","HYOgoli","44.6808788221604"
"HYOgoli.1","HYOgoli.1","31.783142343697"
"HYOgoli.2","HYOgoli.2","-6.10349406565819"
"LEGforr","LEGforr","10.6472852480263"
"LEMstri","LEMstri","-33.275917669846"
"LENcana","LENcana","-11.9213038241538"
"LEPcond","LEPcond","-9.92173968443673"
"LEPspce","LEPspce","-2.7905568579465"
"LORnouh","LORnouh","-11.1320842778264"
"LORnouh.1","LORnouh.1","-7.19782309238712"
"MACmajo","MACmajo","-22.4136036335531"
"MALherc","MALherc","34.4063521130827"
"MALista","MALista","19.3598063056412"
"MALroth","MALroth","24.0153532862883"
"MARbecc","MARbecc","-10.150118777795"
"MELcerv","MELcerv","30.3116280224141"
"MELrufe","MELrufe","25.7927154716402"
"MELrufe.1","MELrufe.1","16.9916692828522"
"MELrufe.2","MELrufe.2","4.8611902327444"
"MESgoul","MESgoul","-34.066703453754"
"MICnama","MICnama","-17.5881300225068"
"MICspce","MICspce","7.76778740557123"
"MICminu","MICminu","8.88724056765584"
"MICminu.1","MICminu.1","-2.02076364194626"
"MILmelt","MILmelt","-30.9047206893478"
"NIVcrem","NIVcrem","-3.61204386376752"
"NOTalex","NOTalex","-19.1183661674208"
"PARaspe","PARaspe","-16.949603940862"
"PARspce","PARspce","-5.1518705835301"
"TAEdomi","TAEdomi","-13.1093974516555"
"PHLcumi","PHLcumi","-2.28318344964297"
"PHLpall","PHLpall","-36.5472998914385"
"PITmela","PITmela","16.7084560877237"
"PITmela.1","PITmela.1","5.20854926531819"
"POGmaye","POGmaye","14.8690379503642"
"ABEsevi.1","ABEsevi.1","2.61638844557186"
"ABEsevi.2","ABEsevi.2","6.4229303925525"
"POGlori","POGlori","13.8339781221619"
"POGlori.1","POGlori.1","17.4628853867178"
"POGlori.2","POGlori.2","9.33872732849835"
"POGmacr","POGmacr","8.80722259181131"
"POGmacr.1","POGmacr.1","29.6722224124576"
"POGlori.3","POGlori.3","1.9558699302831"
"POGsylv","POGsylv","-0.671662411103637"
"POGsylv.1","POGsylv.1","11.5050185546091"
"PROfell","PROfell","13.3559577863979"
"PROfell.1","PROfell.1","30.2925168120181"
"PROfell.2","PROfell.2","-2.29332133446076"
"PSEaust","PSEaust","-7.24554160345469"
"RATmacl","RATmacl","-5.89705073072427"
"RATnati","RATnati","6.59783341670238"
"RHYisar","RHYisar","-2.83876199504426"
"SOLsapi","SOLsapi","8.2357726042884"
"SOLsapi.1","SOLsapi.1","3.09238847409322"
"TAEarcu","TAEarcu","-15.4586900717702"
"THAspce","THAspce","-17.1499210865057"
"UROcaud","UROcaud","-8.71388983013055"
"UROcaud.1","UROcaud.1","-17.2782809916071"
"UROimpe","UROimpe","6.18962736782952"
"UROimpe.1","UROimpe.1","15.0503520216136"
"UROrex_","UROrex_","-1.1261963117275"
"UROrex_.1","UROrex_.1","4.25285566670867"
"VANoler","VANoler","0.652533305419482"
"ZYZargu","ZYZargu","-26.218779315334"
