"","","TPEImean"
"ABEsevi","ABEsevi","68.3445506821932"
"AETchry","AETchry","58.621009058676"
"ANIimit","ANIimit","63.1432361445834"
"APOdata","APOdata","69.8873753333557"
"BANindi","BANindi","79.0999794049496"
"BUNchry","BUNchry","65.3226667802588"
"CHIglir","CHIglir","57.9252204705468"
"CHIglir","CHIglir","71.3556504968332"
"CHImajo","CHImajo","71.3643922085043"
"CHIpusi","CHIpusi","53.1658902885485"
"CHIforb","CHIforb","72.7574703842121"
"CHIforb","CHIforb","79.4219960867661"
"CHIlami","CHIlami","64.5310990007583"
"CHIpulc","CHIpulc","69.8774768484082"
"CHIvate","CHIvate","66.9021508362633"
"COCshaw","COCshaw","68.2827943549114"
"CONpeni","CONpeni","56.1955280034021"
"CRAhean","CRAhean","104.316864844771"
"GOLelli","GOLelli","59.5930467280068"
"THApoen","THApoen","57.6499946388253"
"THApoen","THApoen","52.0900195940264"
"HAEmina","HAEmina","57.1566719139245"
"HAEpusi","HAEpusi","51.4332318797309"
"HAPlong","HAPlong","66.2641840175972"
"HAPlong","HAPlong","62.93360632631"
"HYDchry","HYDchry","70.8907701666762"
"HYOgoli","HYOgoli","106.058240432732"
"HYOgoli","HYOgoli","100.144422226825"
"HYOgoli","HYOgoli","86.5273339319195"
"LEGforr","LEGforr","65.0382336707028"
"LEMstri","LEMstri","62.8545241484677"
"LENcana","LENcana","58.0583599460641"
"LEPcond","LEPcond","66.3514392604165"
"LEPspce","LEPspce","72.2823273391325"
"LORnouh","LORnouh","53.8463333783029"
"LORnouh","LORnouh","51.7480680378445"
"MACmajo","MACmajo","66.8552580072024"
"MALherc","MALherc","113.800652064842"
"MALista","MALista","107.734220433611"
"MALroth","MALroth","101.289246784437"
"MARbecc","MARbecc","57.2109947855192"
"MELcerv","MELcerv","71.9775616561934"
"MELrufe","MELrufe","77.3201992736083"
"MELrufe","MELrufe","77.0220315675327"
"MELrufe","MELrufe","72.5120882946557"
"MESgoul","MESgoul","54.2315076194865"
"MICnama","MICnama","54.5338984996134"
"MICspce","MICspce","65.1091394165793"
"MICminu","MICminu","67.3608170577026"
"MICminu","MICminu","70.0159259807088"
"MILmelt","MILmelt","76.4587318362989"
"NIVcrem","NIVcrem","45.910170094299"
"NOTalex","NOTalex","49.7042677283358"
"PARaspe","PARaspe","81.8454291770964"
"PARspce","PARspce","53.2552655548579"
"TAEdomi","TAEdomi","63.8982061078154"
"PHLcumi","PHLcumi","92.3271974852451"
"PHLpall","PHLpall","79.9051650091609"
"PITmela","PITmela","71.8036467141898"
"PITmela","PITmela","77.7591215068749"
"POGmaye","POGmaye","77.651834427877"
"ABEsevi","ABEsevi","72.3336264365389"
"ABEsevi","ABEsevi","65.356002393147"
"POGlori","POGlori","70.5877729694806"
"POGlori","POGlori","70.7119802863903"
"POGlori","POGlori","67.9691638337625"
"POGmacr","POGmacr","62.2032602507268"
"POGmacr","POGmacr","78.8561603087537"
"POGlori","POGlori","66.6005977964782"
"POGsylv","POGsylv","67.2920480417813"
"POGsylv","POGsylv","68.0847075941437"
"PROfell","PROfell","71.7298791003365"
"PROfell","PROfell","66.3171424937609"
"PROfell","PROfell","60.9120999754619"
"PSEaust","PSEaust","63.8176540318949"
"RATmacl","RATmacl","80.9346166519102"
"RATnati","RATnati","96.8303758176916"
"RHYisar","RHYisar","78.8210421832661"
"SOLsapi","SOLsapi","96.7243654840676"
"SOLsapi","SOLsapi","91.1159528349136"
"TAEarcu","TAEarcu","58.1139699965368"
"THAspce","THAspce","59.1170917653484"
"UROcaud","UROcaud","66.3417942575379"
"UROcaud","UROcaud","71.4932424323056"
"UROimpe","UROimpe","91.7365492673512"
"UROimpe","UROimpe","88.4936296579112"
"UROrex_","UROrex_","95.8273533539859"
"UROrex_","UROrex_","93.4263020843762"
"VANoler","VANoler","53.7853108654871"
"ZYZargu","ZYZargu","61.405903458657"
