"","","TPEIdistmean"
"ABEsevi","ABEsevi","51.7265951538764"
"AETchry","AETchry","32.9989814493034"
"ANIimit","ANIimit","36.56673443819"
"APOdata","APOdata","43.7104585937157"
"BANindi","BANindi","45.4433627703113"
"BUNchry","BUNchry","40.2369276341142"
"CHIglir","CHIglir","37.4226841391999"
"CHIglir.1","CHIglir.1","52.628980625371"
"CHImajo","CHImajo","48.4894172744324"
"CHIpusi","CHIpusi","33.9456987854056"
"CHIforb","CHIforb","51.3766978423907"
"CHIforb.1","CHIforb.1","56.5960151964847"
"CHIlami","CHIlami","46.2421210409901"
"CHIpulc","CHIpulc","49.4371469906255"
"CHIvate","CHIvate","47.2522482656443"
"COCshaw","COCshaw","51.8120090126007"
"CONpeni","CONpeni","29.7393084162329"
"CRAhean","CRAhean","60.5004887267864"
"GOLelli","GOLelli","29.3426284727815"
"THApoen","THApoen","36.2240067682046"
"THApoen.1","THApoen.1","33.1719894082879"
"HAEmina","HAEmina","37.8058965027964"
"HAEpusi","HAEpusi","28.0993894439009"
"HAPlong","HAPlong","43.0587312197448"
"HAPlong.1","HAPlong.1","40.2280210561488"
"HYDchry","HYDchry","42.7925761751073"
"HYOgoli","HYOgoli","71.8644746981821"
"HYOgoli.1","HYOgoli.1","75.9764495670905"
"HYOgoli.2","HYOgoli.2","57.0567403779543"
"LEGforr","LEGforr","37.0606321235074"
"LEMstri","LEMstri","30.3221926728231"
"LENcana","LENcana","38.1024607180708"
"LEPcond","LEPcond","40.210223657325"
"LEPspce","LEPspce","44.7407370568021"
"LORnouh","LORnouh","30.9274717086508"
"LORnouh.1","LORnouh.1","31.3499322170977"
"MACmajo","MACmajo","38.8853639153956"
"MALherc","MALherc","82.4335771006385"
"MALista","MALista","81.7581609591182"
"MALroth","MALroth","74.2691834801103"
"MARbecc","MARbecc","38.2525813111451"
"MELcerv","MELcerv","50.4068615300475"
"MELrufe","MELrufe","55.7990861292486"
"MELrufe.1","MELrufe.1","51.1214820342264"
"MELrufe.2","MELrufe.2","48.2759572173608"
"MESgoul","MESgoul","29.3899966389796"
"MICnama","MICnama","28.4369435056808"
"MICspce","MICspce","38.9260759736453"
"MICminu","MICminu","50.0768610759582"
"MICminu.1","MICminu.1","45.3283048571654"
"MILmelt","MILmelt","37.9267052189568"
"NIVcrem","NIVcrem","32.283626137118"
"NOTalex","NOTalex","28.1584686754193"
"PARaspe","PARaspe","48.501600934889"
"PARspce","PARspce","31.3261518770479"
"TAEdomi","TAEdomi","40.8740777858733"
"PHLcumi","PHLcumi","58.2219638995549"
"PHLpall","PHLpall","50.7810692169508"
"PITmela","PITmela","51.9407645503639"
"PITmela.1","PITmela.1","55.6745630541459"
"POGmaye","POGmaye","52.2504317018213"
"ABEsevi.1","ABEsevi.1","49.9576847325445"
"ABEsevi.2","ABEsevi.2","46.6497912782386"
"POGlori","POGlori","54.2685464705841"
"POGlori.1","POGlori.1","53.7394000473306"
"POGlori.2","POGlori.2","52.0009497885106"
"POGmacr","POGmacr","48.7421277177447"
"POGmacr.1","POGmacr.1","62.4575806031246"
"POGlori.3","POGlori.3","54.6885440162245"
"POGsylv","POGsylv","49.4814518534237"
"POGsylv.1","POGsylv.1","53.1603583267793"
"PROfell","PROfell","42.8394032314968"
"PROfell.1","PROfell.1","47.3749771703501"
"PROfell.2","PROfell.2","41.0619534748744"
"PSEaust","PSEaust","42.200971355049"
"RATmacl","RATmacl","57.2723651830239"
"RATnati","RATnati","70.4136120601821"
"RHYisar","RHYisar","48.543417289308"
"SOLsapi","SOLsapi","70.2012244311157"
"SOLsapi.1","SOLsapi.1","65.0668079880762"
"TAEarcu","TAEarcu","36.6294339948549"
"THAspce","THAspce","37.2151271609993"
"UROcaud","UROcaud","41.0072366133394"
"UROcaud.1","UROcaud.1","44.2265914489"
"UROimpe","UROimpe","61.2756068223657"
"UROimpe.1","UROimpe.1","57.0787977084769"
"UROrex_","UROrex_","66.5736610738064"
"UROrex_.1","UROrex_.1","63.4256877310243"
"VANoler","VANoler","36.3906640807813"
"ZYZargu","ZYZargu","29.3493927209722"
