ABEsevi,43
AETchry,35
ANIimit,36
APOdata,32
BANindi,33
BUNchry,27
CHIglir,36
CHIglir.1,34
CHImajo,32
CHIpusi,34
CHIforb,41
CHIforb.1,42
CHIlami,43
CHIpulc,40
CHIvate,42
COCshaw,45
CONpeni,33
CRAhean,22
GOLelli,25
THApoen,41
THApoen.1,40
HAEmina,42
HAEpusi,40
HAPlong,35
HAPlong.1,36
HYDchry,32
HYOgoli,38
HYOgoli.1,39
HYOgol2,38
LEGforr,27
LEMstri,27
LENcana,44
LEPcond,33
LEPspce,31
LORnouh,35
LORnouh.1,36
MACmajo,41
MALherc,41
MALista,41
MALroth,44
MARbecc,43
MELcerv,38
MELrufe,37
MELrufe.1,35
MELrufe.2,37
MESgoul,36
MICnama,35
MICspce,33
MICminu,30
MICminu.1,30
MILmelt,19
NIVcrem,45
NOTalex,33
PARaspe,37
PARspce,31
TAEdomi,37
PHLcumi,28
PHLpall,25
PITmela,38
PITmela.1,40
POGmaye,39
ABEsevi.1,43
ABEsevi.2,43
POGlori,45
POGlori.1,43
POGlori.2,47
POGmacr,46
POGmacr.1,43
POGlori.3,46
POGsylv,46
POGsylv.1,45
PROfell,40
PROfell.1,39
PSEaust,32
RATmacl,36
RATnati,27
RHYisar,28
SOLsapi,37
SOLsapi.1,37
TAEarcu,32
THAspce,36
UROcaud,35
UROcaud.1,31
UROimpe,33
UROimpe.1,34
UROrex_,36
UROrex_.1,37
VANoler,38
ZYZargu,32
