"","FMRMID","V01TPW","V01MDW","V01CTL","V01CTH","V02TPW","V02MDW","V02CTL","V02CTH","V03TPW","V03MDW","V03CTL","V03CTH","V04TPW","V04MDW","V04CTL","V04CTH","V05TPW","V05MDW","V05CTL","V05CTH","V06TPW","V06MDW","V06CTL","V06CTH","V07TPW","V07MDW","V07CTL","V07CTH","V08TPW","V08MDW","V08CTL","V08CTH","V09TPW","V09MDW","V09CTL","V09CTH","V10TPW","V10MDW","V10CTL","V10CTH","V11TPW","V11MDW","V11CTL","V11CTH","V12TPW","V12MDW","V12CTL","V12CTH","V13TPW","V13MDW","V13CTL","V13CTH","V14TPW","V14MDW","V14CTL","V14CTH","V15TPW","V15MDW","V15CTL","V15CTH","V16TPW","V16MDW","V16CTL","V16CTH","V17TPW","V17MDW","V17CTL","V17CTH","V18TPW","V18MDW","V18CTL","V18CTH","V19TPW","V19MDW","V19CTL","V19CTH","V20TPW","V20MDW","V20CTL","V20CTH","V21TPW","V21MDW","V21CTL","V21CTH","V22TPW","V22MDW","V22CTL","V22CTH","V23TPW","V23MDW","V23CTL","V23CTH","V24TPW","V24MDW","V24CTL","V24CTH","V25TPW","V25MDW","V25CTL","V25CTH","V26TPW","V26MDW","V26CTL","V26CTH","V27TPW","V27MDW","V27CTL","V27CTH","V28TPW","V28MDW","V28CTL","V28CTH","V29TPW","V29MDW","V29CTL","V29CTH","V30TPW","V30MDW","V30CTL","V30CTH","V31TPW","V31MDW","V31CTL","V31CTH","V32TPW","V32MDW","V32CTL","V32CTH","V33TPW","V33MDW","V33CTL","V33CTH","V34TPW","V34MDW","V34CTL","V34CTH","V35TPW","V35MDW","V35CTL","V35CTH","V36TPW","V36MDW","V36CTL","V36CTH","V37TPW","V37MDW","V37CTL","V37CTH","V38TPW","V38MDW","V38CTL","V38CTH","V39TPW","V39MDW","V39CTL","V39CTH","V40TPW","V40MDW","V40CTL","V40CTH","V41TPW","V41MDW","V41CTL","V41CTH","V42TPW","V42MDW","V42CTL","V42CTH","V43TPW","V43MDW","V43CTL","V43CTH","V44TPW","V44MDW","V44CTL","V44CTH","V45TPW","V45MDW","V45CTL","V45CTH","V46TPW","V46MDW","V46CTL","V46CTH"
"ABEsevi",1.83004466065722,6.74308305447886,2.27573774027237,2.97634744275597,4.37079962506862,7.13687759946183,2.21405988541412,3.06511815759196,4.02718090764495,6.3403643972961,2.45424481390916,2.79526321817821,3.17307406350687,5.09471335800161,2.47836427235788,3.21661518166223,2.81668771378724,4.47120101887625,2.23861743940317,4.42288313067393,2.8219510517548,4.00677466331712,2.09494335734883,5.71542612431479,2.70775762874006,3.6694352505665,2.02917075006023,6.27166864023442,1.98654773818804,3.47533118077975,1.92696127880143,6.40208076331438,1.84875660023163,3.34336186046322,1.79831393532942,6.49048908172566,1.7538067538928,3.14938802468037,1.73240288905323,6.46088389154301,1.5719067402362,3.09678781966088,1.67104466726656,6.4355982573495,1.62828356866979,2.9468965998148,1.5736979157386,6.29819558683278,1.52198461884475,2.85201056975601,1.50607965592794,6.09918995277243,1.46707101395944,2.71742043857773,1.47356899058035,6.06140052628103,1.37985017302604,2.62988740633511,1.42535651680554,5.80329608153849,1.34483806088316,2.60702162821868,1.32971192368874,5.6658898436168,1.29430066058857,2.47311023207621,1.29046186305524,5.47616267563337,1.22167883668335,2.33254289349628,1.217234607625,5.34696704777578,1.17471410138808,2.25609651167675,1.18671837012831,5.23458199477284,1.1342237213178,2.0874466915349,1.11190599422793,4.97399581121657,1.08762332634051,2.05191915289077,1.06704441332121,4.79339137250445,1.03488622563063,1.91978021919177,1.00853232471746,4.49153943988028,0.999865455948949,1.75381414351692,0.993216406429133,4.17302028990995,0.95234105760489,1.70404737610197,0.963653433553784,3.9168723287848,0.964306616175582,1.71449307085214,0.964107032439864,3.74866184524558,0.887052811280141,1.61867656435744,0.918526913051544,3.62772627964129,0.870340312751282,1.56378988678147,0.888806171220697,3.49781515377814,0.82738320625935,1.45526895452353,0.826617360088696,3.35107283567517,0.794127294581918,1.38184573668699,0.793315586636237,3.21538742611213,0.741122965505723,1.33073872341644,0.782213046426612,3.03604454842151,0.71629883428636,1.24317468603572,0.749835130211968,2.84853941387512,0.67804701134951,1.19681335988533,0.719339020281812,2.63412323494935,0.641309226192793,1.10349777983465,0.681752602928655,2.4486758848202,0.624353490340209,1.0639086652998,0.660957661352071,2.35175612222016,0.58201388780681,1.02721764509767,0.628781908852346,2.08751964946441,0.537673809665303,0.953556719288369,0.578247128484007,1.92562103231659,0.499554331779841,0.848115019558078,0.557599611639033,1.7006223538458,0.457655709130786,0.753558437614493,0.51162937259309,1.35011017257852,0.433888217055957,0.637625875886481,0.504824857648671,0.998968799112363,0.43819895663956,0.576636358895275,0.458916038181277,0.80092992833331,0.380370819595824,0.469420813343423,0.421460252455673,0.501755310485102,0.327609634321092,0.26632374359039,0.330709053550095,0.294058161083823,0.302614987071028,0.164991204614065,0.163567362575791,0.139641274700568,0.187771895926948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AETchry",2.32620067492037,7.07568582470986,2.46939610431377,3.43833307287121,3.74840264112595,7.30191853213935,2.39873688011003,2.7888886854803,3.39944433106353,5.97065975165224,2.15495032425344,2.94531736320553,2.97239738090317,5.0260871629927,2.40066854230233,4.00888924765951,2.80007618467784,4.06023241329853,2.0277962274351,5.02612076854506,2.25548941473908,3.80970557712797,1.87833087098626,5.61784205909173,2.11108305483228,3.69675259112643,1.8046314182126,5.91752729430968,2.03124002828321,3.6011024159832,1.88581513028186,5.99206693934573,1.85743530557594,3.385632473394,1.75362985216379,5.87607306242017,1.80108516111815,3.21649653816074,1.61691342996463,5.88880451450038,1.67496748923673,3.02526880954404,1.50036599201662,5.97773233509163,1.55681168418021,2.93708588570372,1.47885074973779,5.91296052159999,1.50662739587464,2.80590233614786,1.40278567500527,6.05082666996833,1.41193306498573,2.61729315324058,1.36944052079673,5.9097764873132,1.34923917079219,2.49802325649702,1.28539295159107,5.72959850338573,1.23434946024212,2.33868381787706,1.20484625990207,5.42056345226214,1.13586425685466,2.14769315778581,1.10013932299505,5.47293414632407,1.00472851059378,2.01694391592826,1.03687592796824,5.24291441185149,0.994033993382519,1.78153884886073,0.942238154608484,5.0962255689873,0.919252223277159,1.65912315395814,0.902581397991336,4.98764996867262,0.856870970450044,1.48120474276853,0.834754490853449,4.8871859397817,0.797361737230981,1.37908301418007,0.780642972171015,4.67162957221568,0.751230364136058,1.2545445787217,0.709207374468145,4.52007757566173,0.679418000939038,1.12208351293475,0.680746950048254,4.27908039419687,0.630313128532162,0.999591146419377,0.59125064904827,4.00997369193365,0.573799703729452,0.91905373618739,0.565795042396097,3.80599784156533,0.555751428248277,0.771954208486486,0.530961750034785,3.33323327416489,0.509384913400467,0.705875690189145,0.486761101568313,3.15516810804115,0.460944400117846,0.602115379308651,0.42575733698904,2.81262508344073,0.409840176166272,0.556623696944352,0.380201814829968,2.37118039381233,0.385471321890488,0.460239796193247,0.383616648361356,1.82931700984275,0.358540808834922,0.38008882659189,0.343052679482321,1.36609260022884,0.3126631791561,0.282385679700654,0.290559413029416,0.929845077472587,0.25889730106743,0.223528544038565,0.236552862802376,0.518735970316306,0.208072100244121,0.209601627140631,0.281962277796162,0.302562332255686,0.221289386098836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANIimit",4.13095201134074,13.9865679582233,5.3222976062975,5.26816416221057,8.61888175171234,12.9451120528213,4.97528559280771,4.54880423957769,7.83431732699154,10.2528474274223,5.24283965137214,4.91007139866619,6.15741158929626,9.07104423812385,5.51927071722342,6.43430339430774,5.72002934957505,7.97451545675347,4.51389221958168,8.28954191074515,5.07001654533789,7.33105564635818,4.18409808321937,9.46801376055189,4.63475789874723,6.84009773614383,3.7719347740914,10.2047081844607,3.6726835556579,6.20563747652084,3.75089402676216,10.2095420592698,3.63045510232532,5.88543047873306,3.40351294987987,10.3763515100444,3.35040146848105,5.48830527394386,3.38681237153758,10.4977057745966,3.21018600707187,5.15499443452658,3.1421389227722,10.5896667449925,3.07381366709174,4.92850464238393,3.07807135232437,10.332180018273,2.85156531049177,4.64187182610636,2.85587605823502,10.1061824028661,2.61627879630592,4.36187666606932,2.63077892837843,10.1369411683209,2.48943806912323,4.08940329754843,2.45598026865038,9.83211946326935,2.34971705530687,3.8946025432642,2.35016217525515,9.51799232243857,2.2385759424241,3.7901522198983,2.18888110458289,9.28037877459751,2.10428734017007,3.39666302273275,2.03781592397351,9.25805529903553,1.96525233494328,3.13120385954029,1.87096870631232,8.84295906017889,1.83973076834629,2.89954337784418,1.73875799638708,8.45282617945027,1.75704875857217,2.77297938145958,1.60174915014805,8.10553266232393,1.63480766758662,2.53447868012339,1.4946988392315,7.76168963757247,1.54963424394274,2.26264357997454,1.33123967413836,7.60575810422603,1.46713110525269,2.13273565638126,1.22780709396875,7.01697292356185,1.36217600184411,1.93018551958095,1.19737447776374,6.60424900651089,1.24879668080917,1.76989496298509,1.14381831599254,6.00299605946897,1.15690436078355,1.5581315252571,1.01996693083649,5.45736303630242,1.07214242990379,1.33301391965726,0.998156185173442,5.02817777132034,1.02810175080096,1.24950969584074,0.886417356553899,4.47403243394591,0.8979325420097,1.07601786695203,0.789847643536398,4.11977509823048,0.884460134771493,0.921191304778761,0.726917147961171,3.63194905525944,0.806653500581261,0.813022834857668,0.654859878141881,3.23022312232452,0.725897775172238,0.695675139702432,0.591097606153164,2.54984051658138,0.675830555686854,0.59986047544408,0.517023568128185,1.70304676682703,0.610786804048682,0.451189483476734,0.411704578551179,1.12230206718156,0.472081200642431,0.233009742285595,0.260516621350731,0.23373643276135,0.189213583021938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APOdata",2.14197092417241,8.04098233862008,2.82120873031401,3.7621431777645,4.23508930631929,7.54038334436652,2.60697623502785,3.0847998784362,3.83420338140793,7.20595897851216,2.36562559590481,2.82642340246468,2.97304907628515,5.77584539699601,2.43709145294139,3.25944340493895,2.7346688739224,4.36336858058084,2.22664096791557,4.82565239112806,2.69532108847907,3.45526604185553,2.0953014556383,5.59202610955994,2.26802270932193,3.77961960784415,2.30250497285022,5.98747447510217,2.37342566978618,3.95525499810063,2.27669393199876,6.0425932653125,2.26878143063628,3.68689817054933,2.32214850085002,6.15094339024511,2.2677553946579,3.5658806289611,2.19334525781966,6.08231258486441,2.13637602027358,3.43023721663677,2.10005827845324,5.98313185046093,2.0260386558257,3.28085231318022,2.19290563337778,5.75624185124287,1.89301937137474,3.10765460185008,1.88676885166148,5.66947547573847,1.78056467192293,2.83613462663535,1.65335349214861,5.43074643948694,1.58240760867736,2.66239722618546,1.59010257216319,5.28181445149297,1.48165090017858,2.44880031239789,1.48833107539956,5.13141007716202,1.37787738932025,2.25624351744221,1.32907833478693,4.75106693385812,1.24928282226244,2.03124541845637,1.2128671361695,4.55981851502886,1.17182889962656,1.72523980362151,1.09444181663531,4.24726721669357,1.05243307625711,1.61667003745353,0.996783883296676,3.99430263875936,0.963562457757665,1.46886334966871,0.905961251930791,3.714009382056,0.854115606929175,1.30373559435953,0.78938330993251,3.38311851994577,0.770917498828507,1.1241478594918,0.7240656392897,3.18210210709839,0.71346258486342,0.996842580350576,0.665297782951364,2.92936133312366,0.623855672411492,0.861711929823415,0.60028020123939,2.63602487469295,0.557105106779676,0.815978431087492,0.510056055742898,2.33907314336256,0.519809974894673,0.707119494852173,0.460679823738787,2.06191750804924,0.489126772933156,0.590473335553773,0.400065107201313,1.79944851829665,0.414985120215169,0.515170224294845,0.359216049196022,1.51951452773575,0.403001116623761,0.432778442161807,0.315766781026757,1.261083141589,0.353588800727632,0.337558661568617,0.264173692861346,0.812583817215176,0.270505452810105,0.196343983865052,0.195531736554455,0.31566198694173,0.209069294732631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANindi",5.11069350871288,19.8562883789997,6.31978242188764,7.18744713163166,10.9465696220323,20.4697845259788,6.25532728560224,6.7931559837825,10.0193437893906,17.3414373720865,5.71007414575328,7.0315423585441,7.57099129572871,15.3890683314488,6.08472619022418,9.11291021628108,7.25718687784736,12.4776186273664,5.96443578723085,11.1028863769742,7.22462379435774,12.1840000328299,5.86928209323764,11.9709076372679,6.06245054825192,11.159434479399,5.74635663790545,12.2219338604822,5.47124373794478,10.6383446668173,5.36177461760563,12.2534838576627,5.23265437421582,9.97498393833294,5.15721510313465,12.1527901002198,4.96752089577891,9.1859767058272,4.65346636927786,12.399795077339,4.55815587710644,8.66677928875542,4.35916697202573,12.5589239045389,4.34386671066229,8.0456711068748,4.01936216830481,12.5439184073399,4.02363949801669,7.54086359245412,3.75571979252979,12.1727373215723,3.79218670558294,7.02027135088097,3.49938417010764,12.3302024873884,3.59117610957747,6.40108188511911,3.26804970127443,11.9548231526025,3.31045682648181,5.80644069805246,2.98906724581433,11.6358184778725,3.04365241938038,5.43726064944471,2.8313610243132,10.9614357636215,2.86141136154869,4.93793720089676,2.56538112178289,10.9448580164386,2.57015045863078,4.47131515440368,2.41377817124937,10.4829072899649,2.38614142916969,3.94834118586529,2.19761417223314,10.0033207811206,2.29641935194773,3.6421623920413,1.90185366682086,9.46029435588555,2.03910014957579,3.07293602439101,1.85619338701547,8.84346620110012,1.93464341417223,2.7185072668654,1.59978464800734,8.38611426347148,1.69293417769268,2.27802901649649,1.52862351152925,7.58901083475311,1.55107749000494,2.10154571922668,1.39328328060018,6.86003398898286,1.38956617690558,1.85447771892789,1.25833717659457,6.07684840686355,1.20145728180405,1.66372487208673,1.0924881555422,5.28212020120708,1.11694341844159,1.53628383119787,1.05061646665184,4.54103907162227,0.929185482021771,1.32706770362329,0.939410692934671,3.7462487237235,0.872012958619313,1.10771039987896,0.791800562010411,2.88454201044117,0.795955658312709,0.801258697300694,0.686151076658782,1.30661300314974,0.682842836969109,0.487022073421724,0.47167317074432,0.545423917700713,0.521446219662191,0.216595590906183,0.260500998078701,0.434605073601313,0.223643689828271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUNchry",2.37649394276527,8.6543696818428,2.99824351412622,3.53832667513897,4.30556200628908,8.7169816410269,3.03187953916378,3.59185863029156,3.8641290480521,7.21034999843974,3.01536898239668,4.2578471391068,3.04584462177571,5.77788591874226,2.65601421118187,5.50746451282257,3.02738187217933,4.27239275465166,2.21579463172921,6.79597631323124,2.64000340530084,4.09261775151308,2.41535493043983,6.9254470548839,2.24064013621108,3.81362208930041,2.245570156998,7.14103441106399,2.18065118255992,3.80601744872511,2.19247466804066,7.18099637863716,1.9685018186428,3.57661745927629,1.97468899070208,7.21811114489102,1.84502499712064,3.21685335382264,1.70002029693766,7.12778447625909,1.75861293637912,2.91984853888006,1.57246422216851,6.90208665477332,1.54336554646007,2.73204725801001,1.44124220726427,6.6975713546031,1.45788024542484,2.46309821363257,1.27718148279718,6.37842169270737,1.30798519104767,2.25734473441697,1.17502531462092,6.08641840658363,1.21233367106585,2.08867008644257,1.06274529874284,5.76268687419332,1.07662075495506,1.83524388570021,0.948434125282299,5.47456730801622,0.973354205826429,1.5615498551119,0.836146715594822,4.97974222726438,0.893457659880982,1.54655861188641,0.789180296256822,4.60349376669503,0.840803092287364,1.33216678760581,0.707098691838701,4.21812995176773,0.792474371825354,1.17547700105106,0.638185592128188,3.83623817430566,0.72161701753769,1.00565054566683,0.54439366271109,3.33481002007611,0.614233782854704,0.879196593487485,0.541698541626241,2.96497632199652,0.568246856568522,0.719223261581546,0.457535146190981,2.40783174246042,0.50704273981589,0.546677683832069,0.380193437607747,1.68409978326701,0.52721470009854,0.466613426724948,0.358310089168584,1.10631996275941,0.432089724478611,0.358399720982036,0.302822505768644,0.519431429545801,0.367353970987118,0.250208033444164,0.310115252769039,0.277782108855127,0.251922388842279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIglir",1.08533389332499,3.24438118753022,1.39650272824653,1.47721967899158,2.16542200506045,3.27316668991972,1.3317550074995,1.42246011543382,1.88878596458148,2.81776755606278,1.2556701676794,1.4011892984176,1.69378506605767,2.40938487793046,1.43216954652723,1.76534334620775,1.48297078191042,2.13312906782501,1.15122353606934,2.6580311962052,1.29425633473435,1.89306076236343,1.11610797416737,3.07660290905408,1.19916127355748,1.72355850785519,1.0828440700304,3.04471571579351,1.1323155037356,1.64433842623713,0.987323629819523,3.17641443926953,1.03990157707352,1.47286823579029,0.918005822421621,3.15540399156748,0.979001230847031,1.46802736350519,0.907583004468462,3.16320074291847,0.921955671385559,1.37425821445607,0.875093332165207,3.11098387973965,0.85135880215101,1.35609175574516,0.780645822380415,3.00654913147947,0.836778441404894,1.30168073274517,0.739303029886928,3.01169326625405,0.786198937928556,1.23306580521884,0.708855161510447,2.91654358787932,0.740721870880023,1.15676274576942,0.660399311023262,2.76429372896587,0.687335318458175,1.14367838573613,0.617353391502793,2.80475631383549,0.65480947610736,1.05105296726664,0.591252534878287,2.60878500647332,0.603020903451947,1.07453035322414,0.615308776144142,2.5536617591216,0.585368405365378,0.979908434497841,0.550284344680096,2.52924418156887,0.53897688262114,0.939420081752567,0.508963633278448,2.38608052043513,0.538336558297875,0.86884076216531,0.475872598496701,2.27625499010985,0.481771948124838,0.816205280551406,0.464395704114496,2.1259325224475,0.450517768794971,0.763138021592427,0.421989632574068,1.95906162741248,0.434257492739042,0.704684922500829,0.424706274971301,1.90442529651336,0.415190763384735,0.646852904453557,0.361598810838753,1.85795083088871,0.349456921522528,0.558496965076802,0.325350411095488,1.62769540455209,0.321955602529294,0.499842715261509,0.318541064856643,1.56420896621903,0.302384854118058,0.487413602600503,0.286289014808465,1.42976701948254,0.286434111097122,0.441648287667916,0.283718363875167,1.3242368254961,0.229750168661527,0.375737049011672,0.252194310007179,1.21730845721206,0.250435899982408,0.341865777754955,0.224464006023238,1.12951644521008,0.21807040147622,0.276414543756294,0.221086725065078,1.02512076361763,0.227127827445252,0.211068069588937,0.17692215802437,0.736617634868995,0.201901659230425,0.181624585340201,0.142619774225036,0.678851765851726,0.160947227375934,0.143929183976009,0.124355056189927,0.360925601751939,0.102893780181314,0.0609177314088431,0.114441294994417,0.187789589700813,0.13111289028925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIglir",1.38592512272489,4.2141443422479,1.35922695856873,1.92556273032067,2.48660833315181,4.28774129906411,1.23884451199495,1.80310821427889,2.21048656308967,3.53541316890968,1.26895828599683,1.79865291329373,1.939120475396,2.97914827937449,1.49025534087283,2.08008914061393,1.64649311644477,2.47644498967774,1.39279228060038,2.88888938419248,1.33312856491788,2.10160262937597,1.25678167002069,3.25094559330051,1.22887108896743,1.96190518147539,1.21248151903441,3.41901713638584,1.16892547418559,1.90759933091307,1.16867365508939,3.34705926223304,1.082209591022,1.74284094466477,1.09531785870586,3.54291607692025,1.04824812348985,1.67952324973488,1.03016159047986,3.5003647370667,0.983524383480146,1.65229511891792,1.01471219313656,3.52475571449994,0.959271547373316,1.533281694308,0.929744452470679,3.40669958348252,0.902159688137306,1.45400716985853,0.89058686830651,3.34847672233211,0.874667319613579,1.43459854663247,0.842361763139803,3.36551732724703,0.802525170944811,1.29906698056721,0.792325299356267,3.34036386790422,0.770940237631946,1.2928152961657,0.757784850732713,3.30050523708113,0.747429802723976,1.17968232164426,0.744498455337552,3.16041390485487,0.770562943567882,1.12041896628003,0.735642161651983,3.023477231864,0.684001242688929,1.027735307606,0.620688190317812,2.96261534837042,0.608805123500124,0.998285434332284,0.553550114172149,2.85557015560816,0.54916950425165,0.885716748684363,0.516649037935813,2.65642667130113,0.489806149818478,0.859827034699422,0.49126902701066,2.53811766110242,0.473310877119887,0.805443091037474,0.482262117525315,2.38947381521539,0.447810922265189,0.748583034969402,0.431222418583496,2.22656801971105,0.420980706089959,0.743635869293568,0.442307494579281,2.13095565224244,0.401141370373337,0.616680608237359,0.367060594588959,1.9042602333896,0.355081299118948,0.590677108976639,0.371917279781405,1.775917145252,0.345919318338826,0.520669372058699,0.328406928367841,1.69238889753508,0.314134384619066,0.432029039996157,0.293989968536346,1.406526928466,0.289015096145515,0.377970225811504,0.260895486737506,1.29458671860946,0.353886022894378,0.319622186964548,0.220799872282575,1.21751126783287,0.289235103332912,0.262587493609272,0.202254804887301,1.04257748393105,0.184861880873263,0.153450089605709,0.202922775705439,0.0802716176490804,0.0710502589720792,0.136060041893275,0.139586901247932,0.0454523024719317,0.0381961372392507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHImajo",1.50715216550951,5.507275605061,1.67187302822314,2.3693907811925,3.46361736802725,5.53950578786592,1.7744582645416,2.11318618796357,3.22357372085702,4.99758777284602,1.85205812395292,2.22630831871958,2.63213034810209,3.91559431091884,1.97738859382773,2.97202548651589,2.001801311744,3.53085014817961,1.62262478872967,3.96176597120527,1.70345327937105,3.01029668939791,1.523725523577,4.49633087266718,1.5076228275003,2.73191483492806,1.3851588401696,4.68668786741767,1.37715539094178,2.58720806438137,1.31487944318101,4.72556996423712,1.30718448965706,2.32858952643204,1.15190030488754,4.71630023509954,1.12307044231428,2.23893292673095,1.14846020344634,4.60327385065238,1.12074486837995,2.13212999699831,1.08831002793322,4.5886303534824,1.04795559085297,1.77252763589175,1.03410757660893,4.43272955580419,0.992289645416095,1.68288638653951,0.94709356454365,4.25653834588624,1.0043360592949,1.53249305381786,0.892470834257343,4.17306215386256,0.965367396383366,1.44625988674235,0.836036703739734,3.99009041125637,0.889167638862324,1.36354148451743,0.779628834766904,3.94717932453037,0.832310050401894,1.28618575345865,0.706874491264184,3.77245125211712,0.749888858164996,1.21147771931637,0.652500529961472,3.50484524658365,0.661949429790522,1.09893992233425,0.61138950996889,3.29324918103686,0.620373428186607,0.989809786019514,0.559338615598814,2.78071821938146,0.554757975697512,0.928686839359749,0.524446456847597,2.67225636524642,0.515535170866156,0.850975888553841,0.484271235569492,2.56971384712384,0.472753797340645,0.769577919446758,0.44837059325964,2.28018164679922,0.44899621835824,0.651390041449818,0.395281449223205,2.08832015478949,0.401195603789474,0.59180175236307,0.368490583326083,1.96040540562405,0.399759427656184,0.49052610695049,0.329113184786025,1.67027351652357,0.371764770251301,0.430808124459141,0.325682259418599,1.50094478299503,0.317569100512002,0.398752730398176,0.284845186022163,1.23314424946962,0.277156526172485,0.355647550251652,0.246562040874099,1.15274677618287,0.258637932252794,0.313817048612723,0.22036065892078,1.04291400412498,0.201126055000341,0.243112689919715,0.198968389449179,0.800305572890754,0.189277072039906,0.113711696847773,0.113811950163415,0.0325001538457884,0.0919914126427017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIpusi",0.847992942187607,2.45346553878387,1.02440217200082,1.32570286263551,1.65127923743987,2.54547125106531,0.975792221735756,1.17831361275341,1.54111772425081,2.19339777970162,1.10475317152747,1.41842937434333,1.38807860368208,2.03090388251143,1.17467551689818,1.57728046332921,1.22471896368106,1.67924146268486,1.10693388239768,2.25061671103722,1.09112256873369,1.51166050752145,1.00685428439273,2.48924480314814,1.0252578504942,1.35025799386636,0.975291059120303,2.47041437212464,0.938771564332878,1.32971266069027,0.905474096813376,2.62978309561835,0.896133846029713,1.19713837546041,0.852431029468074,2.61781525131167,0.835307949201972,1.12636740453548,0.794377164827891,2.560456158578,0.773969611806559,1.04104930718963,0.737047440806899,2.52959637887154,0.731138707770285,0.976673309812446,0.694496236778862,2.47224820074765,0.679579579151699,0.998250210167772,0.660942821732714,2.36302162793742,0.633111983854359,0.925808634059978,0.601993513337145,2.47297645488185,0.595395996375522,0.898755070138689,0.560370573460099,2.48664432882951,0.545518670716227,0.859973717563507,0.509734444686643,2.41472216184389,0.513151780762769,0.780143744767591,0.479202368525031,2.32347298706053,0.485099111625656,0.792488971784467,0.445841468349458,2.26420691300508,0.442657297353154,0.705080592911193,0.39567953813661,2.15899172995174,0.385375973433736,0.634571965973916,0.355241819047252,1.96209794352882,0.361051755292785,0.588963190700406,0.333990868138635,1.89224809419907,0.316701452475355,0.584082776667827,0.30461099783166,1.68240135817824,0.304749552911895,0.524285284935595,0.291296996208337,1.69524857764282,0.290761035904056,0.46686312769376,0.258750169082069,1.5552312818356,0.26343912010178,0.430291366401882,0.250092522879033,1.4127453875345,0.248791358370825,0.368694575495761,0.218153638521111,1.30987165783523,0.232290421670803,0.289529868752776,0.202708302987321,1.23030428272846,0.2140782392024,0.262973819989748,0.175187521245095,1.13917674660256,0.195397575471141,0.219675587173451,0.185451996214653,1.02145970458947,0.185868326780009,0.247044114279212,0.17278869638955,0.846182865638393,0.17890106455804,0.237799613960998,0.176491960440129,0.744205789012689,0.145170451538872,0.150217720659049,0.135133452557092,0.494699565392974,0.140064163867851,0.129128579330836,0.0755664608143052,0.33966010952127,0.0903664760848844,0.0750722984861932,0.0729647175009947,0.170065222782318,0.09142532471914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
