"","V1"
"ABEsevi",9
"AETchry",13
"ANIimit",11
"APOdata",9
"BANindi",11
"BUNchry",9
"CHIglir",8
"CHIglir",9
"CHImajo",8
"CHIpusi",8
"CHIforb",11
"CHIforb",8
"CHIlami",9
"CHIpulc",10
"CHIvate",11
"COCshaw",9
"CONpeni",10
"CRAhean",9
"GOLelli",13
"THApoen",12
"THApoen",7
"HAEmina",10
"HAEpusi",12
"HAPlong",7
"HAPlong",8
"HYDchry",9
"HYOgoli",14
"HYOgoli",9
"HYOgol2",9
"LEGforr",13
"LEMstri",9
"LENcana",9
"LEPcond",10
"LEPspce",10
"LORnouh",9
"LORnouh",7
"MACmajo",10
"MALherc",9
"MALista",7
"MALroth",9
"MARbecc",8
"MELcerv",12
"MELrufe",10
"MELrufe",9
"MELrufe",8
"MESgoul",9
"MICnama",10
"MICspce",11
"MICminu",8
"MICminu",8
"MILmelt",8
"NIVcrem",8
"NOTalex",11
"PARaspe",9
"PARspce",12
"TAEdomi",7
"PHLcumi",11
"PHLpall",7
"PITmela",8
"PITmela",8
"POGmaye",10
"ABEsevi",8
"ABEsevi",10
"POGlori",13
"POGlori",10
"POGlori",9
"POGmacr",8
"POGmacr",10
"POGlori",7
"POGsylv",9
"POGsylv",9
"PROfell",12
"PROfell",11
"PSEaust",8
"RATmacl",8
"RATnati",9
"RHYisar",10
"SOLsapi",9
"SOLsapi",9
"TAEarcu",7
"THAspce",8
"UROcaud",9
"UROcaud",9
"UROimpe",10
"UROimpe",9
"UROrex_",10
"UROrex_",11
"VANoler",10
"ZYZargu",14
