"Nomencalture"	"RImean_all"	"RImean_distal"	"RImean_lastQ"	"TPEImean_all"	"TPEImean_distal"	"TPEImean_lastQ"
"1"	"ABEsevi"	38.6892538829617	34.490148163773	61.3623265606284	68.3445506821932	68.3445506821932	71.390493603129
"2"	"AETchry"	30.7191765325327	23.5431707862346	38.6930232140559	58.621009058676	58.621009058676	36.5320575915116
"3"	"ANIimit"	36.7149385546845	26.0678820848121	37.3059115740633	63.1432361445834	63.1432361445834	39.8640390054534
"4"	"APOdata"	36.822757899965	28.8202078018016	31.2846983748496	69.8873753333557	69.8873753333557	39.8453495587295
"5"	"BANindi"	39.1320310896632	29.7805148309487	45.7655918983645	79.0999794049496	79.0999794049496	51.3516145300739
"6"	"BUNchry"	34.59575221469	27.171025069057	48.7807165252222	65.3226667802588	65.3226667802588	52.7160632477529
"7"	"CHIglir"	33.1125280048491	24.5326466666113	28.93995918037	57.9252204705468	57.9252204705468	30.8317687570135
"8"	"CHIglir"	45.2623125312627	42.7705482964955	93.9851323403298	71.3556504968332	71.3556504968332	90.3752109676817
"9"	"CHImajo"	39.7251724727952	34.7802161157146	77.0610838302937	71.3643922085043	71.3643922085043	83.7065471244582
"10"	"CHIpusi"	31.1781273148785	22.4641851396293	24.3053109056876	53.1658902885485	53.1658902885485	31.1806962774916
"11"	"CHIforb"	35.6724831941195	30.1907841110347	46.4788084492277	72.7574703842121	72.7574703842121	64.4866176366992
"12"	"CHIforb"	40.701370243943	34.8442739679814	60.9375265102085	79.4219960867661	79.4219960867661	78.2880764034316
"13"	"CHIlami"	34.5014507352355	29.9393034997591	47.1715855897395	64.5310990007583	64.5310990007583	58.0651370496063
"14"	"CHIpulc"	36.6956561284283	31.4567926732227	44.4370405181837	69.8774768484082	69.8774768484082	56.9318987974157
"15"	"CHIvate"	38.6282883533651	35.4328677253649	72.1688452763507	66.9021508362633	66.9021508362633	75.2193249595719
"16"	"COCshaw"	37.936999308224	34.0419184837999	62.9347389177656	68.2827943549114	68.2827943549114	72.871656006816
"17"	"CONpeni"	26.006579959387	16.2341637098384	15.9045909235919	56.1955280034021	56.1955280034021	26.6432449127982
"18"	"CRAhean"	46.8222970579948	33.2516662603629	37.0530185873392	104.316864844771	104.316864844771	60.4955889696457
"19"	"GOLelli"	28.0169565008161	20.4468545532903	41.9585148170576	59.5930467280068	59.5930467280068	37.160431635844
"20"	"THApoen"	28.8844188077986	23.2702561848862	35.0890671055887	57.6499946388253	57.6499946388253	41.0015340539852
"21"	"THApoen"	28.3538297639783	21.8572877558871	19.781456652805	52.0900195940264	52.0900195940264	23.9393975269053
"22"	"HAEmina"	32.6706342539997	25.6894262390141	43.2158715180809	57.1566719139245	57.1566719139245	52.1524695410356
"23"	"HAEpusi"	24.2984253389571	16.82386888742	22.4096555931975	51.4332318797309	51.4332318797309	30.8071266117444
"24"	"HAPlong"	31.0395714238057	23.6799787611	20.8955991837151	66.2641840175972	66.2641840175972	31.2081046780553
"25"	"HAPlong"	26.8249291920494	19.8039519714545	17.6377865639775	62.93360632631	62.93360632631	31.5695801012353
"26"	"HYDchry"	44.6853475158793	35.9815417405477	32.8050780321237	70.8907701666762	70.8907701666762	37.4290688190872
"27"	"HYOgoli"	58.4512837350785	51.2382823592205	97.3377079544298	106.058240432732	106.058240432732	110.704112322971
"28"	"HYOgoli"	54.0056706419833	48.1273368916558	82.9923118687192	100.144422226825	100.144422226825	102.021039559905
"29"	"HYOgoli"	45.9031728586944	35.5942515864671	46.0076301712621	86.5273339319195	86.5273339319195	57.2305720306921
"30"	"LEGforr"	37.9496459269433	30.0895858140282	52.6029563140126	65.0382336707028	65.0382336707028	51.3992581463553
"31"	"LEMstri"	26.3954286230262	14.9304947069838	12.0060440052902	62.8545241484677	62.8545241484677	19.1693697738797
"32"	"LENcana"	33.4056934107338	27.4875109595307	35.295668413397	58.0583599460641	58.0583599460641	37.2783443404957
"33"	"LEPcond"	36.8131305809556	29.4486615929739	36.7928446355975	66.3514392604165	66.3514392604165	42.8949170235388
"34"	"LEPspce"	36.1196358316398	27.3261379552953	43.3080555055426	72.2823273391325	72.2823273391325	55.8305527169264
"35"	"LORnouh"	28.3065897990276	21.5784472236852	31.2510018719596	53.8463333783029	53.8463333783029	34.5672093379122
"36"	"LORnouh"	25.8827589368933	20.4119325358014	34.0353673318948	51.7480680378445	51.7480680378445	33.1127417877238
"37"	"MACmajo"	33.3262148510129	24.8232253849225	26.0056173562059	66.8552580072024	66.8552580072024	28.3892046827018
"38"	"MALherc"	60.0970544846917	54.7060131341821	87.4340177299762	113.800652064842	113.800652064842	105.375275055824
"39"	"MALista"	63.2247084048117	56.7138356127152	71.521556492567	107.734220433611	107.734220433611	90.2313706082893
"40"	"MALroth"	55.8097989974217	50.3509723774647	76.8055713155728	101.289246784437	101.289246784437	95.6681578522866
